,Query,DocID,Title,Snippets (mc),Snippets (mi),Expanded (mc),Expanded (mi),Classified (mc),Classified (mi),Sample Clause,Is Contract
0,Arbitration ,133653680,M/S Duro Felguera S.A vs M/S. Gangavaram Port Limi,13,0,13,0,9,0,"Any dispute in respect of which amicable settlement has not been reached within the period stated in Sub-Clause 20.5, shall be finally and conclusively settled by Arbitration under the Arbitration and",Yes
1,Arbitration ,81257869,Gurinder Singh Sethi vs M/S Sagar Fossil Fuel Tech,1,0,1,0,1,0,27. That a mutually agreed arbitrator shall be appointed in case of any dispute that may arise between both the parties in respect of this Agreement and this agreement is to be adjudicated within the ,Yes
2,Arbitration ,9193128,Pure Diets India Limited vs Lokmangal Agro Industr,2,0,2,0,0,0,"(a). Nilesh C. Sanghani and Others v. Rakesh V. Zangda and Others, 2007 SCC OnLine Bom 530;",No
3,Arbitration ,133653680,M/S Duro Felguera S.A vs M/S. Gangavaram Port Limi,13,0,13,0,9,0,"Sub-Clause 20.6 - Arbitration Any dispute in respect of which amicable settlement has not been reached within the period stated in Sub-Clause 20.5, shall be finally and conclusively settled by Arbitra",Yes
4,Privacy,12972852,My Space Inc. vs Super Cassettes Industries Ltd. o,1,0,1,0,1,0,10. Protecting Copyrights and Other Intellectual Property You may not use the Myspace Services in a manner that violates other's intellectual property rights. If you are an intellectual property owner,Yes
5,Privacy,69052901,Naresh Trehan vs Rakesh Kumar Gupta on 24 November,2,0,2,0,0,0,"8. Exemption from disclosure of information.-- (1) Notwithstanding anything contained in this Act, there shall be no obligation to give any citizen,",No
6,Privacy,80759470,Kamal Bhasin vs Radha Krishna Mathur & Anr. on 1 N,2,0,2,0,0,0,"12. We are in agreement with the CIC and the courts below that the details called for by the petitioner i.e. copies of all memos issued to the third respondent, show cause notices and orders of censur",No
7,Privacy,70139862,"R.K.Jain vs Union Of India & Anr on 16 April, 2013",4,0,4,0,0,0,"The appellant filed  an  application  to  Central  Public  Information Officer (hereinafter referred to as the  ‘CPIO’)  under  Section  6  of  the Right to Information Act, 2005 (hereinafter referred",No
8,force majeure,1716913,"Century Textiles And Industries Ltd., ... vs Mahar",8,0,8,0,6,0,"18. FAILURE TO SUPPLY: 
(a) (i) The Board shall take all reasonable precautions to ensure continuity of supply of power to the consumer but shall not be responsible for any loss to him or damage to hi",Yes
9,force majeure,172129667,Jdl Lime Stone & Dolomite Mines vs State Of Odisha,4,0,4,0,2,0,4. Failure on the part of the lessee to fulfil any of the terms and conditions of this lease shall not give the Central or State Government any claim against the lessee/lessees or be deemed a breach o,Yes
10,force majeure,123403504,M/S Haliburton Offshore Services Inc. vs Vedanta L,24,0,24,0,17,0,a) restrain the Respondent No.1 from invoking and/ or encashing and /or receiving any payment from Respondent No. 2 under said Bank Guarantee as described in para 3.4 above in favour of Respondent No.,Yes
11,force majeure,1716913,"Century Textiles And Industries Ltd., ... vs Mahar",8,0,8,0,6,0,"18. FAILURE TO SUPPLY: 
(a) (i) The Board shall take all reasonable precautions to ensure continuity of supply of power to the consumer but shall not be responsible for any loss to him or damage to hi",Yes
12,confidentiality,1416837,M/S. Tata Industries Ltd. & Anr vs M/S. Grasim Ind,8,1,8,1,6,1,"8.01 Confidential Information Defined: For the purposes of this Agreement, ""confidential information"" shall mean all oral, written and/or tangible information created by the merged company or disclose",Yes
13,confidentiality,34884,"Asstt. Cit vs Hewlett Packard Ltd. on 14 August, 2",17,7,17,7,11,6,(ii) Lump sum know how fee : US Dollar 11 lakhs of taxes with tax liability to be borne by the Indian Company.,Yes
14,confidentiality,1282775,Assistant Commissioner Of Income Tax vs Hewlett Pa,17,0,17,0,11,0,(ii) Lump sum know how fee : US Dollar 11 lakhs of taxes) with tax liability to be borne by the Indian Company.,Yes
15,confidentiality,137316058,M/S Devendra Construction Company ... vs The State,3,0,3,0,1,0,"D.1. CONFIDENTIALITY
D.1.1 Information relating to the evaluation of bids and Recommendation of contract award shall not be disclosed to Bidders or any other persons not officially concerned with the ",Yes
16,contributor license agreement,163818289,Pinaka Studios Pvt. Ltd. vs Mx Media And Entetiain,8,0,8,0,6,0,"3.8 Hard Disks. The Production Company shall ensure that all hard disks for the Series are used solely and exclusively in relation to the Series, and are utilized by the Production Company for the pur",Yes
